id,scheda,misa,misl,misp,misn,misd
250,,,9.2,,,0.7
35,,16.8,,,,0.8
27,,,,,,0.9
221,,,,,,0.9
96,,1.6,0.7,,,1.1
547,,3.9,,,,1.1
25,,,,,,1.1
159,,4,,,,1.2
160,,4,,,,1.2
5,,,,,,1.2
10,,,,,,1.2
248,,0.7,,,1,1.3
116,,1.3,,,,1.3
117,,1.3,,,,1.3
196,,,,,,1.3
253,,,,,,1.3
53,,,,,,1.4
252,,,,,,1.4
240,,,1,,0.8,1.5
171,,,,,1.4,1.5
202,,0.7,,,1.5,1.5
92,,,,,,1.5
95,,,,,,1.5
99,,,,,,1.5
115,,,0.9,,1.3,1.6
40,,,1,,1.4,1.6
169,,1.1,,,1.7,1.6
121,,4.7,,,,1.6
93,,,,,,1.6
94,,,,,,1.6
249,,,,,,1.6
124,,,1,,1.4,1.7
24,,,1.1,,1.6,1.7
19,,,1.8,,2,1.7
4,,,,,,1.7
8,,,,,,1.7
110,,,,,,1.7
170,,,1,,1.5,1.8
102,,,1.2,,1.7,1.8
105,,,1.2,,1.7,1.8
173,,,,,,1.8
201,,,,,,1.8
555,,,1.8,,2.2,1.9
213,,1.3,,,2.2,1.9
206,,1.9,,,2.2,1.9
191,,0.8,1.8,,,1.9
200,,,,,,1.9
562,,,,,,1.9
251,,2.3,,,2.7,2
319,,2,,,,2
320,,2,,,,2
97,,,,,,2
98,,,,,,2
46,,,1.9,,2,2.1
553,,,,,,2.1
47,,,1.4,,1.9,2.2
150,,,1.5,,1.9,2.2
45,,,1.7,,2,2.2
587,,,,,26,2.2
517,,2.7,,,,2.2
223,,6.7,,,,2.4
224,,6.7,,,,2.4
226,,5.8,,,,2.5
318,,,,,,2.5
518,,3,,,,2.6
321,,,,,,3.2
322,,,,,,3.2
336,,2.5,,,5.5,3.5
395,,11.8,12.8,,,3.6
371,,20.5,8,,,4
21,,12,,,,4
37,,5.2,,,,4.2
420,,,,,,5.5
419,,1.1,,,,5.6
403,,5.6,5.9,,,5.9
585,,,,,33.5,6
397,,25.5,19,,,6
157,,,,,,6.2
402,,8.4,10.4,,,6.3
361,,11.8,8.5,,,6.7
360,,12.5,12,,,6.9
586,,,3,,30.5,7
391,,14,11.5,,,7
132,,5.2,,,,7
127,,7.3,,,,7
128,,12,,,,7
236,,,0.9,,,7.2
158,,,,,,7.2
396,,14.5,3.5,,,7.4
401,,8.5,12.4,,,7.6
390,,12.4,14.4,,,7.8
142,,17.6,,,,8.6
359,,14.5,22,,,8.7
129,,,,,,9
363,,10.5,19.5,,,9.7
242,,,,,,9.7
367,,11,14.5,,,9.8
358,,17,27,,,10
533,,18,,,,10
133,,10,,,,10
20,,,,,,10
389,,27.5,22,,,10.1
373,,16,27.5,,,10.1
374,,14,15.5,,,10.2
375,,14.4,15.6,,,10.2
398,,4.4,6.9,,,10.3
366,,10.5,14,,,10.3
365,,11,20.8,,,10.3
364,,15.5,27.5,,,10.3
362,,17.5,23,,,10.8
399,,10.9,12.6,,,11
140,,11.3,,,,11
369,,16.8,32.7,,,11.1
394,,20.4,22.5,,,11.2
386,,21.2,23,,,11.4
388,,18.5,22.5,,,11.5
368,,48,40,,,11.6
387,,16.2,22,,,11.7
370,,24.7,33,,,11.7
400,,6.7,7.2,,,13
539,,14.3,,,,13
549,,25,,,,14.5
38,,26.9,,,,14.5
243,,,,,,14.5
550,,13.3,,,,15.2
535,,5.1,,,,16.1
34,,,,,25.4,16.2
423,,16,,,,16.5
534,,20,,,,16.5
192,,,,1.8,,17
422,,15,,,,17
541,,25.5,,,,17
542,,16,,,,17.5
381,,3.5,,,,18.2
594,,14.2,,,,18.5
536,,6,,,,21
538,,29.5,22,,,22
551,,23.5,,,,22
448,,54,,,,24
496,,,,,,24
567,,9,,,,29
566,,9.5,,,,30.5
459,,40.9,,,,31
382,,7.2,,,,32.5
563,,32.7,,,,34.6
540,,11,,,,39
199,,,,,,0.8
181,,,0.9,,1.3,1.7
218,,2,,,,1.9
532,,16,,,,11.2
43,,11,,,,12.5
44,,6.5,,,,13.1
584,,11.8,,,,19.5
57,,5.4,,,,2.2
56,,5.5,,,,2.2
588,,,2.8,,,2.8
589,,,2.8,,,2.8
63,,5.5,,,,3
145,,10.5,,,,3.2
372,,8.5,6.5,,,3.5
220,,10.1,,,,3.5
183,,11.2,,,,3.5
377,,9.7,12.3,,,3.6
144,,,,,,3.8
219,,11.8,,,,3.9
418,,63.3,,,,38
244,,12.2,,,,4.3
62,,2.5,,,,4.5
376,,16.3,16,,,5
23,,15.7,,,,5
11,,17.5,,,,5.4
58,,3.7,,,,5.5
12,,22.3,,,,5.6
59,,4,,,,6
61,,1,,,,6
60,,1,,,,6
55,,7,,,,6.5
22,,11.6,,,,6.7
184,,3.1,,,,7.4
17,,2.3,,,,7.5
54,,8.3,,,,7.7
245,,4.6,,,,8.2
531,,15.8,,,,8.4
543,,,,,,8.5
544,,,,,,8.7
18,,4,,,,8
49,,,1.7,,1,
189,,,,,1,
50,,,1,,1.2,
443,,,,,1.4,
31,,,1,,1.5,
182,,,2.1,,1.6,
435,,,,,1.6,
436,,,,,1.6,
437,,,,,1.6,
438,,,,,1.6,
439,,,,,1.6,
440,,,,,1.6,
441,,,,,1.6,
136,,,1.3,,1.8,
122,,2,,,1.8,
241,,1.5,,,1.9,
510,,5.5,2.5,,2,
194,,1.8,,,2.2,
141,,,1.8,,2.3,
512,,,3,,2.6,
442,,,,,2.7,
65,,2,1.5,,3,
66,,2,1.5,,3,
67,,2,1.5,,3,
68,,2,1.5,,3,
69,,2,1.5,,3,
70,,2,1.5,,3,
71,,2,1.5,,3,
72,,2,1.5,,3,
73,,2,1.5,,3,
74,,2,1.5,,3,
75,,2,1.5,,3,
76,,2,1.5,,3,
77,,2,1.5,,3,
78,,2,1.5,,3,
79,,2,1.5,,3,
80,,2,1.5,,3,
81,,2,1.5,,3,
82,,2,1.5,,3,
83,,2,1.5,,3,
84,,2,1.5,,3,
85,,2,1.5,,3,
86,,2,1.5,,3,
87,,2,1.5,,3,
88,,2,1.5,,3,
89,,2,1.5,,3,
90,,2,1.5,,3,
91,,2,1.5,,3,
509,,4,5,,3,
190,,,2.9,,3.2,
431,,,2.5,,4.6,
432,,,2,,4.8,
326,,4,,,4.8,
276,,,1.5,,5,
275,,,4.5,,5,
337,,3.5,,,5,
511,,15.8,8,,5.5,
325,,3.2,,,5.5,
324,,2.4,,,6,
323,,6,,,6.2,
279,,,3.3,,6.5,
445,,,5.2,,7,
357,,,6.9,,7,
446,,,5.2,,7.5,
345,,2.9,6.5,,7.9,
3,,,,,8,
343,,3.7,8,,8.2,
277,,1.7,5,,8.5,
434,,2,,,8.5,
347,,3,7.2,,8.9,
356,,3,5.2,,9,
468,,,5.5,,9,
456,,,,,9.5,
457,,,,,9.5,
564,,,,,10,
16,,,,,10.2,
125,,,,,10.2,
274,,1.8,7.2,,10.5,
352,,3.3,7.2,,10.5,
335,,,10,,10.5,
545,,,,,10.5,
354,,3.2,5.7,,10.7,
355,,3,7,,11,
346,,3.2,7.2,,11,
348,,3.4,7.4,,11,
353,,3.3,7.3,,11.4,
350,,3.8,8,,11.6,
349,,3.6,8,,11.8,
344,,3.4,7.1,,12,
351,,3.2,8.1,,12,
342,,,9,,12,
340,,,,,12,
525,,,,,13.3,
452,,,,,13.5,
341,,,7.5,,14,
455,,,,,14,
188,,,,,14.5,
559,,,,,14.6,
557,,,14.5,,15.6,
123,,,,,16,
203,,,,,17.2,
9,,,,,19.7,
149,,,,,19.8,
2,,,,,20.5,
591,,,,,21.5,
592,,,,,21.5,
590,,,,,22,
548,,,,,23,
558,,,,,23.5,
225,,,,,24.3,
112,,,,,31.3,
172,,,,,31.8,
222,,,,,32.2,
197,,,,,35,
237,,,,,35,
523,,,,,38.7,
198,,,,,39.8,
524,,,,,40,
593,,,,,45.2,
185,,,1.2,,12,
147,,,,,9.5,
529,,9,5.7,3,,
491,,4,1,,,
469,,6.1,1.1,,,
211,,1.9,1.2,,,
212,,1.9,1.2,,,
506,,1.5,1.3,,,
39,,2,1.5,,,
100,,2.5,1.5,,,
101,,2.5,1.5,,,
492,,3,1.5,,,
52,,2.2,1.6,,,
556,,1.4,1.7,,,
216,,2.1,1.7,,,
217,,2.1,1.7,,,
51,,2.6,1.7,,,
209,,3,1.7,,,
163,,2.8,1.8,,,
1,,3,1.9,,,
554,,,1.9,,,
472,,3.3,2,,,
470,,3.5,2,,,
471,,3.5,2,,,
473,,4,2,,,
482,,9.8,2,,,
521,,3.4,2.1,,,
522,,3.4,2.1,,,
284,,3,2.2,,,
137,,3.4,2.2,,,
138,,3.4,2.2,,,
520,,2.2,2.5,,,
519,,2.5,2.5,,,
280,,5,2.5,,,
479,,5,2.5,,,
488,,6,2.5,,,
478,,9.5,2.5,,,
484,,9.5,2.5,,,
481,,10.5,2.5,,,
483,,10.5,2.5,,,
485,,10.5,2.5,,,
480,,11,2.5,,,
477,,20.5,2.5,,,
421,,2.2,2.7,,,
507,,6.8,2.7,,,
515,,3.6,2.8,,,
516,,3.7,2.8,,,
134,,3.5,3,,,
135,,3.5,3,,,
126,,4,3,,,
296,,7.8,3,,,
33,,9,3,,,
486,,10.5,3,,,
462,,17.5,3,,,
287,,4,3.2,,,
178,,3.3,3.5,,,
179,,3.3,3.5,,,
305,,3.4,3.5,,,
286,,4,3.5,,,
475,,4.7,3.5,,,
490,,,3.5,,,
307,,3.5,3.7,,,
32,,9,3.9,,,
508,,4,4,,,
476,,4.7,4,,,
268,,4,4.4,,,
262,,3.5,4.5,,,
285,,5,4.5,,,
303,,3.4,5,,,
259,,7,5,,,
174,,12.8,5,,,
282,,6.5,5.2,,,
265,,4.8,5.4,,,
292,,1.3,5.5,,,
412,,1.5,5.5,,,
301,,5,5.5,,,
266,,6.5,5.5,,,
528,,7.5,5.5,,,
177,,13,5.5,,,
64,,11.7,5.6,,,
36,,9.9,5.8,,,
304,,3.8,6,,,
261,,4,6,,,
283,,4.8,6,,,
260,,5,6,,,
258,,6.8,6,,,
526,,9.3,6,,,
527,,11,6,,,
256,,3,6.5,,,
302,,4.5,6.5,,,
474,,7.5,6.5,,,
489,,0.4,6.8,,,
298,,3,7,,,
317,,4,7,,,
281,,5.5,7,,,
407,,3.5,7.3,,,
406,,3.8,7.3,,,
300,,4,7.5,,,
254,,17.5,7.5,,,
413,,2.2,7.6,,,
410,,1.2,7.7,,,
411,,1.2,7.7,,,
255,,3,8,,,
269,,3,8,,,
293,,4.5,8,,,
392,,17.2,8.2,,,
404,,2.9,8.4,,,
393,,7.4,8.4,,,
409,,1,8.5,,,
273,,2.8,8.5,,,
270,,4.5,8.5,,,
175,,10.5,8.5,,,
28,,22.7,8.5,,,
405,,3.1,8.9,,,
306,,3.5,9,,,
264,,9.5,9,,,
131,,16.5,9.5,,,
467,,3.5,10,,,
294,,4,10,,,
315,,4,10,,,
267,,5.3,10,,,
257,,6,10,,,
596,,8.3,10,,,
308,,9,10,,,
503,,54,10.2,,,
289,,5,10.5,,,
263,,3.5,11,,,
271,,5,11,,,
312,,6,11,,,
408,,1,11.5,,,
414,,1.9,11.5,,,
288,,1.8,12,,,
291,,4,12,,,
449,,4.5,12,,,
272,,2.2,13,,,
295,,4.5,13,,,
314,,7,13,,,
313,,9,13,,,
309,,10,13,,,
299,,17,13,,,
461,,18,13.5,,,
278,,6,14.5,,,
311,,7,15,,,
316,,7,15,,,
464,,3,15.6,,,
451,,,16,,,
466,,7.3,16.1,,,
15,,,16.5,,,
447,,22,17,,,
290,,4,18,,,
494,,14,18.5,,,
310,,13,19,,,
383,,17,19.5,,,
595,,20,20,,,
458,,49,20,,,
118,,19,20.5,,,
465,,3.5,21,,,
504,,16.2,21,,,
235,,28.5,21.5,,,
453,,4,22,,,
454,,57,22,,,
460,,43.5,24,,,
495,,17.5,26,,,
493,,22,31.5,,,
537,,31,34,,,
424,,36,37.5,,,
501,,20,51,,,
513,,57.1,52.1,,,
41,,27,26.5,,,
195,,1.1,,,,
246,,1.6,,,,
247,,1.6,,,,
208,,1.7,,,,
161,,1.8,,,,
162,,1.8,,,,
207,,1.8,,,,
514,,1.8,,,,
205,,1.9,,,,
204,,2,,,,
13,,2.3,,,,
14,,2.3,,,,
6,,2.5,,,,
7,,2.5,,,,
568,,2.5,,,,
552,,2.6,,,,
560,,2.8,,,,
186,,3,,,,
561,,3,,,,
238,,3.1,,,,
572,,3.3,,,,
239,,3.4,,,,
187,,3.5,,,,
297,,4,,,,
143,,4.4,,,,
570,,5.5,,,,
571,,6,,,,
583,,6,,,,
569,,6.3,,,,
574,,6.4,,,,
582,,6.7,,,,
573,,7.1,,,,
575,,7.5,,,,
111,,8.2,,,,
103,,8.3,,,,
104,,8.3,,,,
577,,8.7,,,,
155,,9,,,,
230,,9,,,,
231,,9,,,,
579,,10,,,,
148,,10.5,,,,
576,,11.5,,,,
565,,12,,,,
580,,12.8,,,,
109,,14,,,,
139,,15.7,,,,
30,,16,,,,
165,,16.4,,,,
581,,17,,,,
42,,21.1,,,,
214,,21.5,,,,
215,,23.5,,,,
146,,24.5,,,,